manufacturer,mpn,package,quantity,references,dnp,approved_alternate_mpns,selection_override_references
Abracon,ABM8G-8.000MHZ-18-D2Y-T,3.2x2.5mm 4-pad,1,SUPPORT/Y1,false,,
C&K,PCM12SMTR,SMD slide switch,1,SUPPORT/SWBOOT,false,,
Diodes Incorporated,AP1117E15G-13,SOT-223-3,2,PWR/U3V3 PWR/U5,false,,
Generic,HDR-1x02-2.54mm,1x02 2.54mm header,0,VIN_SRC,true,,
Generic,MH-PAD-3.2MM,plated mounting pad,0,H1 H2 H3 H4,true,,
Lite-On,LTST-C190KGKT,0603 LED,1,LED_STATUS/D,false,,
Molex,105017-0001,Micro-USB-B receptacle,1,USB/J1,false,,
Murata,GRM188R71C104KA01D,0603,9,PWR/C3V3 PWR/C5V PWR/CIN PWR/CVDDA SUPPORT/CHSEIN SUPPORT/CHSEOUT SUPPORT/CVCAP1 SUPPORT/CVCAP2 SUPPORT/CVDD,false,,
STMicroelectronics,STM32F405RGT6,LQFP-64,1,U1,false,,
STMicroelectronics,USBLC6-4SC6,SOT-23-6,1,USB/U1,false,,
Samtec,FTSH-105-01-L-DV-K,2x05 1.27mm,1,J2,false,,
Sullins,PEC04SAAN,1x04 2.54mm,2,J3 PWR/J,false,,
Yageo,RC0603FR-0710KL,0603,3,LED_STATUS/R SUPPORT/RBOOT SUPPORT/RRESET,false,,
